am -iin	amiin
l -aa	laa
gaa-l	gaal
ḥas-ab	ḥasab
hi-nd	hind
ḥat -ta	ḥatta
ak -tar	aktar
yimk- -een	yimkeen
ḥaẓ- -aa-r	ḥaẓaar
paap- -ii-r-om	paapiir -o-m
paap- -ii-r-os	paapiir -o-s
paap- -ii-r-or	paapiir -o-r
turkii -ya	turkiiya
gaaka- -r-aa	gaa-kar-aa
ḍ -o-m	ḍom
ab -o-r	ab-or
libn- -aa-n	 libnaan
aḥ -yaan	aḥyaan
ḍo -mà	ḍom -à
m -aa	maa
ḍ -o-maa	ḍom -aa
p- -ird-	pir- -d-
p -aa	paa
as- -aa-s	asaas
iš -šii	iššii
ḥit -ta	ḥitta
falasṭ -iin	falasṭiin
biẓẓab -it	biẓẓabit
ziiv-r-aa	ziivraa-
maa-rd-	maar-d-
daa- -d	daad
ġ- -ee-r	ġeer
aa- -r-ee	aaree
ni- -im	niim
baʕ- -d-een	baʕdeen
kur- yin	kury -in
pk- -ees	pkees
baʕid -ma	baʕidma
bn- -aa-n	bnaan
paa- -rd	paar- -d
bilʕaa- -d-ee	bilʕaadee
maa- -rd	maar- -d
uu -ta	uuta
h -aa	haa
iit -ta	iitta
mar- -r-à	marrà
wala -tà	walat -à
m- -een	meen
mš- -aa-n	mšaan
t -aa	taa
ab -o-m	ab-om
or -iin	oriin
va-rd	var-d
vaa-rd	vaar-d
o -ta	ota
k- -aa-n	kaan
suur -yaa	suuryaa
kak -kà	kakkà
ee -ta	eeta
ṣaa- -l-à	ṣaal -à
laav- -č-is	laavč -is
vaar-yis	vaary -is
neen- -d	n- -eend
ḥamm- -aa-m	ḥammaam
kur -yim	kury -im
jazaa’- -ee-r	jazaa’eer
balji -ika	baljiika
t- -een	teen
ṣ -aa	ṣaa
ṣayṭa- -r-à	ṣayṭarà
maʕaaša- -r-om-aa	maʕaašar-omaa
ay-ya	ayya
vy- -aa-r	vyaar
qaa- -l-à	qaal- -à
baa- -r-à	baarà
ti -ika	tiika
m -iin	miin
ka -tà	katà
ʕas- -kar	ʕaskar
ami- -in-kii	amiin -kii
-vaa -šii	vaaš-ii
daa -yim	daay -im
t- -aa-r	taar
paaṣo -ma	paaṣ-oma
kul -ka	kulka
ay -ya	ayya
ab -o-s	ab-os
ḥa- -št	ḥašt
ʕaa- -d-à	ʕaadà
qabil -ma	qabilma
gee-n-aa	geenaa
din -ya	dinya
laaz -im	laazim
j- -aa-r	jaa- -r
qadi -im	qadiim
arbiiʕ -iin	arbiiʕiin
si- -n-ee	sinee
xayy- -ir	xayyir
qlaa- -r-à	qlaarà
y -o-m	yom
iliiy- -aa-m	il- iiyaam
il’- -aa-n	il’aan
greevaa- -r	greevaar
ago- -r	agor
faq- -ii-r	faqiir
tiim- -aa-r	tiimaar
ka -kii	kakii
m- -r-à	mr-à
lam -ma	lamma
assal- -aa-m	assalaam
ʕalayk -o-m	ʕalaykom
juw- -r	juwr
beef -kà	beefkà
almoh -o-m	almohom
var -saa	vars -aa
ʕyaa- -d-à	ʕyaadà
faran -saa	faransaa
aas -yaa	aasyaa
d- -yaa-r	dyaar-
kaa -mor	kaamor
k- -o-n	ko- -n
vaa- -rd	vaar- -d
abom	ab-om
taʕbaa- -n	taʕbaan
qu- -r-om	qur -o-m
k- -see	ksee
h- -ind	hind
ḍ -o-m	ḍom
jib -	jib-
tmaar -iin	tmaariin
m -een	meen
am -een	ameen
dar -saa	dars -aa
lim -ma	limma
i- -iraan	iiraan
kee -va	keeva
lag- -aa-n	lagaan
m- -r-ee	mr-ee
pk -ee-s	pkees
vee -šii	veeš-ii
vaaš -o-maan	vaaš-omaan
ft-om	ft- -om
baxš -iiš	baxšiiš
xaan -im	xaanim
ẓ- -o-r	ẓor
bas- -see	bassee
xat- -r-à	xatrà
di- -d-à	didà
ijj -aa	ijjaa
vyaa- -r-à	vyaar -à
ab -o-saa	ab-osaa
yee -ka	yeeka
fl- -aa-n	flaan
saʕ -it	saʕit
lip- -aa-r	li- paar-
var- -s	vars -
daa -yim	daayim
xuḍ- -r-ee	xuḍree
tajaa- -r-à	tajaarà
ha- -n-ee	hanee
ii -ta	iita
karaawi -it	karaawiit 
lvaa- -l-à	lvaal- -à
laʕẓi -im	laʕẓiim
ḥo- -š	ḥoš 
ṭil -l-à	ṭill- -à
ha -yaa	hay -aa
la -ka	laka
inzo- -r-à	inzorà
x -ee-r	xeer
ko -ma	koma
g- -aa-m	gaam
ġoṭi- -iš	ġoṭiiš
qu- -r	qur 
yirḥa -ma	yirḥama
paš -tar	paštar
maa-nd	maan- -d
t -een	teen
qaw- -r	qawr
