-à	-GEN/M/OBL.SG
-a	-INDEF
-aa	-REM/2SG/INDEF/CAUS
-aa-m	-CAUS-1SG
-aa-m-aa	-CAUS-1SG-REM
-aa-m-ee	-CAUS-1SG-PRES
-aaw-om		-CAUS-1SG
-aaw-omaa	-CAUS-1PL
-aa-n	-CAUS-1PL
-aa-n-aa	-CAUS-1PL-REM
-n-aa	-1PL-REM
-n-is-ee	-1PL-3SG-PRES
-n-is	-1PL-3SG
-aa-n-ee	-CAUS-1PL-PRES
-aa-nd	-CAUS-3PL
-aa-nd-aa	-CAUS-3PL-REM
-aa-nd-ee	-CAUS-3PL-PRES
-aa-nd-is-aa	-CAUS-3PL-3SG-REM
-aa-nd-is-ee	-CAUS-3PL-3SG-PRES
-aa-nd-is	-CAUS-3PL-3SG
-aa-r	-CAUS-3SG
-aa-r-aa	-CAUS-3SG-REM
-aa-r-ee	-CAUS-3SG-PRES
-aa-r-à	-CAUS-PFV-3SG
-aa-r-is	-CAUS-3SG-3SG
-aa-s	-CAUS-2PL
-aa-s-aa	-CAUS-2PL-REM
-aa-s-ee	-CAUS-2PL-PRES
-aa-s-imaan-ee	-CAUS-2PL-1PL-PRES
-aa-s-imaan	-CAUS-2PL-1PL-REM
-aa-s-imaan	-CAUS-2PL-1PL
-aa-vaa	-CAUS-2SG
-vee	-2SG
-aak	-INDEF
-aar	-CAUS
-aar-d-ee	-CAUS-PFV-PRES
-aar-d-eend-is	-CAUS-PFV-3PL-3SG
-aar-d-om-ee	-CAUS-PFV-1SG-PRES
-aar-d-om-aa	-CAUS-PFV-1SG-REM
-aar-d-om	-CAUS-PFV-1SG
-aar-r-s-ee	-CAUS-3SG-3SG-PRES
-aav-iš-aa	-CAUS-SUBJ-REM
-aav-iš-ee	-CAUS-SUBJ-PRES
-aav-iš-ind	-CAUS-SUBJ-3PL
-aav-iš-ind-aa	-CAUS-SUBJ-3PL-REM
-aav-iš-ind-ee	-CAUS-SUBJ-3PL-PRES
-aav-iš-inn	-CAUS-SUBJ-1PL
-aav-iš-inn-aa	-CAUS-SUBJ-1PL-REM
-aav-iš-inn-ee	-CAUS-SUBJ-1PL-PRES
-aav-iš-iss	-CAUS-SUBJ-2PL
-aav-iš-iss-aa	-CAUS-SUBJ-2PL-REM
-aav-iš-iss-ee	-CAUS-SUBJ-2PL-PRES
-aav-iš-om	-CAUS-SUBJ-1SG
-aav-iš-om-aa	-CAUS-SUBJ-1SG-REM
-aav-iš-om-ee	-CAUS-SUBJ-1SG-PRES
-aav-iš-or	-CAUS-SUBJ-2SG
-aav-iš-or-aa	-CAUS-SUBJ-2SG-REM
-aav-iš-or-ee	-CAUS-SUBJ-2SG-PRES
-aav-išt-aa	-CAUS-PROG-REM
-aav-išt-ee	-CAUS-PROG-PRES
-aav-išt-ind	-CAUS-PROG-3PL
-aav-išt-ind-aa	-CAUS-PROG-3PL-REM
-aav-išt-ind-ee	-CAUS-PROG-3PL-PRES
-aav-išt-inn	-CAUS-PROG-1PL
