want-COP/PROG	want-PROG
say/good-COP/PROG	say-PROG
go-COP/PROG	go-PROG
know/spray-COP/PROG	know/spray-PROG
do/make-COP/PROG	do/make-PROG
come-COP/PROG	come-PROG
see-COP/PROG	see-PROG
look.after-COP/PROG	look.after-PROG
give-COP/PROG	give-PROG
give.birth-COP/PROG	give.birth-PROG
put/give-COP/PROG	put/give-PROG
take-COP/PROG	take-PROG
say-COP/PROG	say-PROG
bring-COP/PROG	bring-PROG
bring.back-COP/PROG	bring.back-PROG
eat-COP/PROG	eat-PROG
eat/vomit-COP/PROG	eat/vomit-PROG
drink-COP/PROG	drink-PROG
return-COP/PROG	return-PROG
hear/knead-COP/PROG	hear/knead-PROG
hear-COP/PROG	hear-PROG
sit/live-COP/PROG	sit/live-PROG
sleep-COP/PROG	sleep-PROG
stand-COP/PROG	stand-PROG
stay/wait/stand.up-COP/PROG	stay/wait/stand.up-PROG
stand.up-COP/PROG	stand.up-PROG
run-COP/PROG	run-PROG
run.away-COP/PROG	run.away-PROG
fall-COP/PROG	fall-PROG
die-COP/PROG	die-PROG
exit-COP/PROG	exit-PROG
enter-COP/PROG	enter-PROG
open/hit-COP/PROG	open/hit-PROG
hit-COP/PROG	hit-PROG
grab/hold-COP/PROG	grab/hold-PROG
hold-COP/PROG	hold-PROG
work-COP/PROG	work-PROG
shut-COP/PROG	shut-PROG
forget-COP/PROG	forget-PROG
sell-COP/PROG	sell-PROG
buy/scare-COP/PROG	buy/scare-PROG
wash-COP/PROG	wash-PROG
spread-COP/PROG	spread-PROG
learn-COP/PROG	learn-PROG
play-COP/PROG	play-PROG
jump-COP/PROG	jump-PROG
cry-COP/PROG	cry-PROG
laugh-COP/PROG	laugh-PROG
burn-COP/PROG	burn-PROG
call-COP/PROG	call-PROG
call/knock-COP/PROG	call/knock-PROG
send-COP/PROG	send-PROG
pull-COP/PROG	pull-PROG
push-COP/PROG	push-PROG
break-COP/PROG	break-PROG
say/good-VTR	say-VTR
people-3SG/2PL/OBL.SG/2PL.IMP	people-OBL.SG
country-3SG/2PL/OBL.SG/2PL.IMP	country-OBL.SG
smooth-GEN/M/OBL.SG	smooth-M
throw/who-VITR/INDEF/3PL/REM/and	who-REM
girl-VITR/INDEF/3PL/REM/and	girl-REM/INDEF
whose-FUT/-with/-DIR	whose-DIR
something-REM/2SG.PRES/2SG/INDEF/CAUS	something-REM/INDEF
piece-REM/2SG.PRES/2SG/INDEF/CAUS	piece-REM/INDEF
house-1SG/1SG/LOC	house-LOC
blanket-REM/2SG.PRES/2SG/INDEF/CAUS	blanket-REM/INDEF
wool-GEN/M/OBL.SG	wool-GEN/OBL.SG 
mattress-REM/2SG.PRES/2SG/INDEF/CAUS	mattress-REM/INDEF
say/good-PFV	say-PFV
word-3SG/2PL/OBL.SG/2PL.IMP	word-3SG/OBL.SG
where/it.was/which-SG-3PL-DIR	which-SG-3PL-DIR
whose-FUT/-with/-DIR	whose-DIR
grandfather-SG-2SG/-VITR-3SG	grandfather-SG-2SG
take/NEG-come	NEG-come
take/NEG-want	NEG-want
take/NEG-say/good	NEG-say
take/NEG-go	NEG-go
take/NEG-know/spray	NEG-know/spray
take/NEG-do/make	NEG-do/make
take/NEG-come	NEG-come
take/NEG-see	NEG-see
take/NEG-look.after	NEG-look.after
take/NEG-give	NEG-give
take/NEG-give.birth	NEG-give.birth
take/NEG-put/give	NEG-put/give
take/NEG-take	NEG-take
take/NEG-say	NEG-say
take/NEG-bring	NEG-bring
take/NEG-bring.back	NEG-bring.back
take/NEG-eat	NEG-eat
take/NEG-eat/vomit	NEG-eat/vomit
take/NEG-drink	NEG-drink
take/NEG-return	NEG-return
take/NEG-hear/knead	NEG-hear/knead
take/NEG-hear	NEG-hear
take/NEG-sit/live	NEG-sit/live
take/NEG-sleep	NEG-sleep
take/NEG-stand	NEG-stand
take/NEG-stay/wait/stand.up	NEG-stay/wait/stand.up
take/NEG-stand.up	NEG-stand.up
take/NEG-run	NEG-run
take/NEG-run.away	NEG-run.away
take/NEG-fall	NEG-fall
take/NEG-die	NEG-die
take/NEG-exit	NEG-exit
take/NEG-enter	NEG-enter
take/NEG-open/hit	NEG-open/hit
take/NEG-hit	NEG-hit
take/NEG-grab/hold	NEG-grab/hold
take/NEG-hold	NEG-hold
take/NEG-work	NEG-work
take/NEG-shut	NEG-shut
take/NEG-forget	NEG-forget
take/NEG-sell	NEG-sell
take/NEG-buy/scare	NEG-buy/scare
take/NEG-wash	NEG-wash
take/NEG-spread	NEG-spread
take/NEG-learn	NEG-learn
take/NEG-play	NEG-play
take/NEG-jump	NEG-jump
take/NEG-cry	NEG-cry
take/NEG-laugh	NEG-laugh
take/NEG-burn	NEG-burn
take/NEG-call	NEG-call
take/NEG-call/knock	NEG-call/knock
take/NEG-send	NEG-send
take/NEG-pull	NEG-pull
take/NEG-push	NEG-push
