aa	 -aa
aak	 -aak
aam	- -aa-m
aan	- -aa-n
aand	- -aa-nd
aar	- -aa-r
aardee	- -aar-d-ee
aas	- -aa-s
aavaa	- -aa-vaa
aavišaa	- -aav-iš-aa
aavišee	- -aav-iš-ee
aavišee	- -aav-iš-ee
aavišind	- -aav-iš-ind
aavišindaa	- -aav-iš-ind-aa
aavišindee	- -aav-iš-ind-ee
aavišinn	- -aav-iš-inn
aavišinnaa	- -aav-iš-inn-aa
aavišinnee	- -aav-iš-inn-ee
aavišiss	- -aav-iš-iss
aavišissaa	- -aav-iš-iss-aa
aavišissee	- -aav-iš-iss-ee
aavišom	- -aav-iš-om
aavišomaa	- -aav-iš-om-aa
aavišomee	- -aav-iš-om-ee
aavišor	- -aav-iš-or
aavišoraa	- -aav-iš-or-aa
aavišoree	- -aav-iš-or-ee
čaa	- -č-aa
ččaa	- -čč-aa
ččim	- -čč-im
ččin	- -čč-in
ččind	- -čč-ind
ččir	- -čč-ir
ččis	- -čč-is
ččris	- -čč-r-is
čim	- -č-im
čin	- -č-in
čind	- -č-ind
čir	- -č-ir
čis	- -č-is
dà	- -d-à
daa	- -d-aa
dee	- -d-ee
dee	- -d-ee
deen	- -d-een
deenaa	- -d-een-aa
deend	- -d-eend
deendaa	- -d-eend-aa
deendee	- -d-eend-ee
deendim	- -d-eend-im
deendimaa	- -d-eend-imaa
deendimaa	- -d-eend-im-aa
deendimaan	- -d-eend-imaan
deendimaanaa	- -d-eend-imaan-aa
deendimaanee	- -d-eend-imaan-ee
deendimee	- -d-eend-im-ee
deendir	- -d-eend-ir
deendiraa	- -d-eend-iraa
deendiraa	- -d-eend-ir-aa
deendiraan	- -d-eend-iraan
deendiraanaa	- -d-eend-iraan-aa
deendiraanee	- -d-eend-iraan-ee
deendiree	- -d-eend-ir-ee
deendis	- -d-eend-is
deendisaa	- -d-eend-isaa
deendisaa	- -d-eend-is-aa
deendisaan	- -d-eend-isaan
deendisaanaa	- -d-eend-isaan-aa
deendisaanee	- -d-eend-isaan-ee
deendisee	- -d-eend-is-ee
deenee	- -d-een-ee
deenir	- -d-een-ir
deeniraa	- -d-een-iraa
deeniraa	- -d-een-ir-aa
deeniraan	- -d-een-iraan
deeniraanaa	- -d-een-iraan-aa
deeniraanee	- -d-een-iraan-ee
deeniree	- -d-een-ir-ee
deenis	- -d-een-is
deenisaa	- -d-een-isaa
deenisaa	- -d-een-is-aa
deenisaan	- -d-een-isaan
deenisaanaa	- -d-een-isaan-aa
deenisaanee	- -d-een-isaan-ee
deenisee	- -d-een-is-ee
dees	- -d-ees
deesaa	- -d-ees-aa
deesee	- -d-ees-ee
deesim	- -d-ees-im
deesimaa	- -d-ees-imaa
deesimaa	- -d-ees-im-aa
deesimaan	- -d-ees-imaan
deesimaanaa	- -d-ees-imaan-aa
deesimaanee	- -d-ees-imaan-ee
deesimee	- -d-ees-im-ee
deesiraa	- -d-ees-iraa
deesiraan	- -d-ees-iraan
deesiraanaa	- -d-ees-iraan-aa
deesiraanee	- -d-ees-iraan-ee
deesis	- -d-ees-is
deesisaa	- -d-ees-is-aa
deesisee	- -d-ees-is-ee
dom	- -d-om
domaa	- -d-om-aa
domee	- -d-om-ee
domir	- -d-om-ir
domiraa	- -d-om-iraa
domiraa	- -d-om-ir-aa
domiraan	- -d-om-iraan
domiraan	- -d-om-iraan
domiraanaa	- -d-om-iraan-aa
domiraanee	- -d-om-iraan-ee
domiree	- -d-om-ir-ee
domis	- -d-om-is
domisaa	- -d-om-isaa
domisaa	- -d-om-is-aa
domisaan	- -d-om-isaan
domisaanaa	- -d-om-isaan-aa
domisaanee	- -d-om-isaan-ee
domisee	- -d-om-is-ee
dor	- -d-or
doraa	- -d-or-aa
doree	- -d-or-ee
dorim	- -d-or-im
dorimaa	- -d-or-imaa
dorimaa	- -d-or-im-aa
dorimaan	- -d-or-imaan
dorimaanaa	- -d-or-imaan-aa
dorimaanee	- -d-or-imaan-ee
dorimee	- -d-or-im-ee
doris	- -d-or-is
dorisaa	- -d-or-isaa
dorisaa	- -d-or-is-aa
dorisaan	- -d-or-isaan
dorisaanaa	- -d-or-isaan-aa
dorisaanee	- -d-or-isaan-ee
dorisee	- -d-or-is-ee
dos	- -d-os
dosim	- -d-os-im
dosimaa	- -d-os-imaa
dosimaa	- -d-os-im-aa
dosimaan	- -d-os-imaan
dosimaanaa	- -d-os-imaan-aa
dosimaanee	- -d-os-imaan-ee
dosimee	- -d-os-im-ee
dosir	- -d-os-ir
dosiraa	- -d-os-iraa
dosiraa	- -d-os-ir-aa
dosiraan	- -d-os-iraan
dosiraanaa	- -d-os-iraan-aa
dosiraanee	- -d-os-iraan-ee
dosiree	- -d-os-ir-ee
dosis	- -d-os-is
dosisaa	- -d-os-isaa
dosisaa	- -d-os-is-aa
dosisaan	- -d-os-isaan
dosisaanaa	- -d-os-isaan-aa
dosisaanee	- -d-os-isaan-ee
dosisee	- -d-os-is-ee
doss	- -d-os-s
eem	 -ee-m
eemaa	 -ee-maa
een	 -een
eenmà	 -een-mà
eentà	 -een-tà
eentaa	 -een-t-aa
eer	 -ee-r
eeraa	 -ee-raa
eeraan	 -ee-raan
ees	 -ee-s
homee	- -ho-m-ee
hondee	- -ho-nd-ee
honee	- -ho-n-ee
horee	- -ho-r-ee
hosee	- -ho-s-ee
howee	- -ho-w-ee
hrà	- -h-r-à
hreen	- -h-r-een
hreend	- -h-r-eend
hrees	- -h-r-ees
hrom	- -h-r-om
hror	- -h-r-or
iččaa	- -ičč-aa
iččim	- -ičč-im
iččin	- -ičč-in
iččind	- -ičč-ind
iččir	- -ičč-ir
iččis	- -ičč-is
idoraa	- -id-or-aa
iin	 -iin
iinee	-iin-ee
iirà	- -ii-r-à
iiraa	- -ii-r-aa
iiree	- -ii-r-ee
iireen	- -ii-r-een
iireend	- -ii-r-eend
iirees	- -ii-r-ees
iirom	- -ii-r-om
iiror	- -ii-r-or
iiš	 -iiš
ika	 -ika
ikaa	 -ikaa
ikeeree	 -ikeeree
ikii	 -ikii
imà	 -imà
imaan	 -imaan
ind	- -ind
indee	- -ind-ee
inkii	 -in-kii
inmà	 -in-mà
insaa	 -in-saa
irà	- -ir-à
iraa	- -ir-aa
iraan	- -iraan
irdà	- -ird-à
irdaa	- -ird-aa
irdee	- -ird-ee
irdeen	- -ird-een
irdeenaa	- -ird-een-aa
irdeend	- -ird-eend
irdeendaa	- -ird-eend-aa
irdeendee	- -ird-eend-ee
irdeendim	- -ird-eend-im
irdeendimaa	- -ird-eend-imaa
irdeendimaa	- -ird-eend-im-aa
irdeendimaan	- -ird-eend-imaan
irdeendimaanaa	- -ird-eend-imaan-aa
irdeendimaanee	- -ird-eend-imaan-ee
irdeendimee	- -ird-eend-im-ee
irdeendir	- -ird-eend-ir
irdeendiraa	- -ird-eend-iraa
irdeendiraa	- -ird-eend-ir-aa
irdeendiraan	- -ird-eend-iraan
irdeendiraanaa	- -ird-eend-iraan-aa
irdeendiraanee	- -ird-eend-iraan-ee
irdeendiree	- -ird-eend-ir-ee
irdeendis	- -ird-eend-is
irdeendisaa	- -ird-eend-isaa
irdeendisaa	- -ird-eend-is-aa
irdeendisaan	- -ird-eend-isaan
irdeendisaanaa	- -ird-eend-isaan-aa
irdeendisaanee	- -ird-eend-isaan-ee
irdeendisee	- -ird-eend-is-ee
irdeenee	- -ird-een-ee
irdeenir	- -ird-een-ir
irdeeniraa	- -ird-een-iraa
irdeeniraa	- -ird-een-ir-aa
irdeeniraan	- -ird-een-iraan
irdeeniraanaa	- -ird-een-iraan-aa
irdeeniraanee	- -ird-een-iraan-ee
irdeeniree	- -ird-een-ir-ee
irdeenis	- -ird-een-is
irdeenisaa	- -ird-een-isaa
irdeenisaa	- -ird-een-is-aa
irdeenisaan	- -ird-een-isaan
irdeenisaanaa	- -ird-een-isaan-aa
irdeenisaanee	- -ird-een-isaan-ee
irdeenisee	- -ird-een-is-ee
irdees	- -ird-ees
irdeesaa	- -ird-ees-aa
irdeesee	- -ird-ees-ee
irdeesim	- -ird-ees-im
irdeesimaa	- -ird-ees-imaa
irdeesimaa	- -ird-ees-im-aa
irdeesimaan	- -ird-ees-imaan
irdeesimaanaa	- -ird-ees-imaan-aa
irdeesimaanee	- -ird-ees-imaan-ee
irdeesimee	- -ird-ees-im-ee
irdeesiraa	- -ird-ees-iraa
irdeesiraan	- -ird-ees-iraan
irdeesiraanaa	- -ird-ees-iraan-aa
irdeesiraanee	- -ird-ees-iraan-ee
irdeesis	- -ird-ees-is
irdeesisaa	- -ird-ees-is-aa
irdeesisee	- -ird-ees-is-ee
irdom	- -ird-om
irdomaa	- -ird-om-aa
irdomee	- -ird-om-ee
irdomir	- -ird-om-ir
irdomiraa	- -ird-om-iraa
irdomiraa	- -ird-om-ir-aa
irdomiraan	- -ird-om-iraan
irdomiraanaa	- -ird-om-iraan-aa
irdomiraanee	- -ird-om-iraan-ee
irdomiree	- -ird-om-ir-ee
irdomis	- -ird-om-is
irdomisaa	- -ird-om-isaa
irdomisaa	- -ird-om-is-aa
irdomisaan	- -ird-om-isaan
irdomisaanaa	- -ird-om-isaan-aa
irdomisaanee	- -ird-om-isaan-ee
irdomisee	- -ird-om-is-ee
irdor	- -ird-or
irdoraa	- -ird-or-aa
irdoree	- -ird-or-ee
irdorim	- -ird-or-im
irdorimaa	- -ird-or-imaa
irdorimaa	- -ird-or-im-aa
irdorimaan	- -ird-or-imaan
irdorimaanaa	- -ird-or-imaan-aa
irdorimaanee	- -ird-or-imaan-ee
irdorimee	- -ird-or-im-ee
irdoris	- -ird-or-is
irdorisaa	- -ird-or-isaa
irdorisaa	- -ird-or-is-aa
irdorisaan	- -ird-or-isaan
irdorisaanaa	- -ird-or-isaan-aa
irdorisaanee	- -ird-or-isaan-ee
irdorisee	- -ird-or-is-ee
irdos	- -ird-os
irdosim	- -ird-os-im
irdosimaa	- -ird-os-imaa
irdosimaa	- -ird-os-im-aa
irdosimaan	- -ird-os-imaan
irdosimaanaa	- -ird-os-imaan-aa
irdosimaanee	- -ird-os-imaan-ee
irdosimee	- -ird-os-im-ee
irdosir	- -ird-os-ir
irdosiraa	- -ird-os-iraa
irdosiraa	- -ird-os-ir-aa
irdosiraan	- -ird-os-iraan
irdosiraanaa	- -ird-os-iraan-aa
irdosiraanee	- -ird-os-iraan-ee
irdosiree	- -ird-os-ir-ee
irdosis	- -ird-os-is
irdosisaa	- -ird-os-isaa
irdosisaa	- -ird-os-is-aa
irdosisaan	- -ird-os-isaan
irdosisaanaa	- -ird-os-isaan-aa
irdosisaanee	- -ird-os-isaan-ee
irdosisee	- -ird-os-is-ee
iree	- -ir-ee
ireen	- -ir-een
ireenaa	- -ir-een-aa
ireend	- -ir-eend
ireendaa	- -ir-eend-aa
irees	- -ir-ees
ireesaa	- -ir-ees-aa
irom	- -ir-om
iromaa	- -ir-om-aa
iror	- -ir-or
iroraa	- -ir-or-aa
iros	- -ir-os
isaa	- -isaa
išaa	- -iš-aa
isaan	- -isaan
išee	- -iš-ee
išimiraa	- -iš-im-ir-aa
išimiraanaa	- -iš-im-iraan-aa
išimiraanee	- -iš-im-iraan-ee
išimiree	- -iš-im-ir-ee
išimisaa	- -iš-im-is-aa
išimisaanaa	- -iš-im-isaan-aa
išimisaanee	- -iš-im-isaan-ee
išimisee	- -iš-im-is-ee
išimraa	- -iš-im-r-aa
išimraanaa	- -iš-im-raan-aa
išimraanee	- -iš-im-raan-ee
išimree	- -iš-im-r-ee
išimsaa	- -iš-im-s-aa
išimsaanaa	- -iš-im-saan-aa
išimsaanee	- -iš-im-saan-ee
išimsee	- -iš-im-s-ee
išind	- -iš-ind
išindaa	- -iš-ind-aa
išindee	- -iš-ind-ee
išindimaa	- -iš-ind-im-aa
išindimaanaa	- -iš-ind-imaan-aa
išindimaanee	- -iš-ind-imaan-ee
išindimee	- -iš-ind-im-ee
išindiraa	- -iš-ind-ir-aa
išindiraanaa	- -iš-ind-iraan-aa
išindiraanee	- -iš-ind-iraan-ee
išindiree	- -iš-ind-ir-ee
išindisaa	- -iš-ind-is-aa
išindisaanaa	- -iš-ind-isaan-aa
išindisaanee	- -iš-ind-isaan-ee
išindisee	- -iš-ind-is-ee
išinn	- -iš-inn
išinnaa	- -iš-inn-aa
išinnee	- -iš-inn-ee
iširimaa	- -iš-ir-im-aa
iširimaanaa	- -iš-ir-imaan-aa
iširimaanee	- -iš-ir-imaan-ee
iširimee	- -iš-ir-im-ee
iširiraa	- -iš-ir-ir-aa
iširiraanaa	- -iš-ir-iraan-aa
iširiraanee	- -iš-ir-iraan-ee
iširiree	- -iš-ir-ir-ee
iširisaa	- -iš-ir-is-aa
iširisaanaa	- -iš-ir-isaan-aa
iširisaanee	- -iš-ir-isaan-ee
iširisee	- -iš-ir-is-ee
iširmaa	- -iš-ir-m-aa
iširmaanaa	- -iš-ir-maan-aa
iširmaanee	- -iš-ir-maan-ee
iširmee	- -iš-ir-m-ee
iširraa	- -iš-ir-r-aa
iširraanaa	- -iš-ir-raan-aa
iširraanee	- -iš-ir-raan-ee
iširree	- -iš-ir-r-ee
iširsaa	- -iš-ir-s-aa
iširsaanaa	- -iš-ir-saan-aa
iširsaanee	- -iš-ir-saan-ee
